category,name,description,url,logo,image
Endpoint Protection,Symantec Endpoint Protection,Symantec Endpoint Protection is a comprehensive endpoint security solution that combines antivirus, firewall, intrusion prevention, and advanced threat protection features.,https://www.broadcom.com/products/cyber-security/endpoint/symantec-endpoint-protection,[Symantec Endpoint Protection Logo],[Symantec Endpoint Protection Image]
Endpoint Protection,McAfee Endpoint Security,McAfee Endpoint Security provides advanced threat defense and endpoint protection for modern devices and environments.,https://www.mcafee.com/enterprise/en-us/products/endpoint-security.html,[McAfee Endpoint Security Logo],[McAfee Endpoint Security Image]
Endpoint Protection,CrowdStrike Falcon,CrowdStrike Falcon offers cloud-delivered endpoint protection powered by AI and machine learning to detect and prevent cyber threats.,https://www.crowdstrike.com/products/falcon-endpoint-protection/,[CrowdStrike Falcon Logo],[CrowdStrike Falcon Image]
Endpoint Protection,Trend Micro Apex One,Trend Micro Apex One provides advanced endpoint security with threat detection, response, and investigation capabilities.,https://www.trendmicro.com/en_us/business/products/user-protection/sps/endpoint-protection/advanced.html,[Trend Micro Apex One Logo],[Trend Micro Apex One Image]
Endpoint Protection,Carbon Black Endpoint Security,Carbon Black Endpoint Security offers next-generation antivirus and endpoint detection and response (EDR) capabilities to protect against advanced threats.,https://www.carbonblack.com/products/cb-defense/,[Carbon Black Endpoint Security Logo],[Carbon Black Endpoint Security Image]
Endpoint Protection,SentinelOne Endpoint Protection,SentinelOne Endpoint Protection delivers autonomous endpoint security through AI-driven technology to defend against all types of attacks.,https://www.sentinelone.com/platform/endpoint-security/,[SentinelOne Endpoint Protection Logo],[SentinelOne Endpoint Protection Image]
Endpoint Protection,Sophos Intercept X,Sophos Intercept X provides advanced endpoint protection with deep learning AI to stop zero-day attacks and ransomware.,https://www.sophos.com/en-us/products/intercept-x.aspx,[Sophos Intercept X Logo],[Sophos Intercept X Image]
Endpoint Protection,Kaspersky Endpoint Security,Kaspersky Endpoint Security offers multi-layered protection against cyber threats, including advanced ransomware protection and detection.,https://www.kaspersky.com/small-to-medium-business-security/endpoint-security-cloud,[Kaspersky Endpoint Security Logo],[Kaspersky Endpoint Security Image]
Endpoint Protection,Bitdefender GravityZone,Bitdefender GravityZone is a comprehensive endpoint security solution that combines advanced threat prevention and endpoint detection and response (EDR).,https://www.bitdefender.com/business/endpoint-security.html,[Bitdefender GravityZone Logo],[Bitdefender GravityZone Image]
Endpoint Protection,CylancePROTECT,CylancePROTECT is an AI-driven endpoint security solution that uses machine learning to prevent malware and advanced threats.,https://www.blackberry.com/us/en/cylance,[CylancePROTECT Logo],[CylancePROTECT Image]
Network Security,Cisco Firepower NGFW,Cisco Firepower Next-Generation Firewall (NGFW) provides advanced threat protection and integrated security features for network defense.,https://www.cisco.com/c/en/us/products/security/firewalls/index.html,[Cisco Firepower NGFW Logo],[Cisco Firepower NGFW Image]
Network Security,Palo Alto Networks Next-Generation Firewall,Palo Alto Networks Next-Generation Firewall (NGFW) offers advanced security capabilities to protect against cyber threats across networks and cloud environments.,https://www.paloaltonetworks.com/network-security/next-generation-firewall,[Palo Alto Networks Next-Generation Firewall Logo],[Palo Alto Networks Next-Generation Firewall Image]
Network Security,Fortinet FortiGate,Fortinet FortiGate is a next-generation firewall (NGFW) that provides high-performance network security with advanced threat protection features.,https://www.fortinet.com/products/next-generation-firewall,[Fortinet FortiGate Logo],[Fortinet FortiGate Image]
